specialty,sample_id,audio_tier,model,metric_source,metric_code,value,metric_name,group,output_type,lower_is_better
RESP,RESP_0001,clean,whisper,WHISPER_Metrics,S / (S+D+I) * 100,65.0,Substitution Rate,Derived Metrics,Percentage (%),False
RESP,RESP_0001,clean,whisper,WHISPER_Metrics,D / (S+D+I) * 100,12.5,Deletion Rate,Derived Metrics,Percentage (%),False
RESP,RESP_0001,clean,whisper,WHISPER_Metrics,I / (S+D+I) * 100,22.5,Insertion Rate,Derived Metrics,Percentage (%),False
RESP,RESP_0001,clean,whisper,WHISPER_Metrics,whisper_wer,25.53191489361702,,,,True
RESP,RESP_0001,med,whisper,WHISPER_Metrics,jiwer.wer(),0.2553191489361702,WER - Word Error Rate,Summary Error Rates,Percentage (%),True
RESP,RESP_0001,med,whisper,WHISPER_Metrics,jiwer.cer(),0.13532473410273818,CER - Character Error Rate,Summary Error Rates,Percentage (%),True
RESP,RESP_0001,med,whisper,WHISPER_Metrics,jiwer.mer(),0.24266936299292213,MER - Match Error Rate,Summary Error Rates,Percentage (%),True
RESP,RESP_0001,med,whisper,WHISPER_Metrics,jiwer.wil(),0.3757222024392416,WIL - Word Information Lost,Summary Error Rates,Percentage (%),True
RESP,RESP_0001,med,whisper,WHISPER_Metrics,jiwer.wip(),0.6242777975607584,WIP - Word Information Preserved,Summary Error Rates,Percentage (%),False
RESP,RESP_0001,med,whisper,WHISPER_Metrics,result.substitutions,158.0,Substitutions,Error Type Breakdown,Integer count,True
RESP,RESP_0001,med,whisper,WHISPER_Metrics,result.deletions,33.0,Deletions,Error Type Breakdown,Integer count,True
RESP,RESP_0001,med,whisper,WHISPER_Metrics,result.insertions,49.0,Insertions,Error Type Breakdown,Integer count,True
RESP,RESP_0001,med,whisper,WHISPER_Metrics,result.hits,749.0,Hits - Correct Words,Error Type Breakdown,Integer count,False
RESP,RESP_0001,med,whisper,WHISPER_Metrics,hits / N * 100,79.68085106382979,Word Accuracy,Derived Metrics,Percentage (%),False
RESP,RESP_0001,med,whisper,WHISPER_Metrics,S / (S+D+I) * 100,65.83333333333333,Substitution Rate,Derived Metrics,Percentage (%),False
RESP,RESP_0001,med,whisper,WHISPER_Metrics,D / (S+D+I) * 100,13.75,Deletion Rate,Derived Metrics,Percentage (%),False
RESP,RESP_0001,med,whisper,WHISPER_Metrics,I / (S+D+I) * 100,20.416666666666668,Insertion Rate,Derived Metrics,Percentage (%),False
RESP,RESP_0001,med,whisper,WHISPER_Metrics,whisper_wer,25.53191489361702,,,,True
RESP,RESP_0001,hard,whisper,WHISPER_Metrics,jiwer.wer(),0.2946808510638298,WER - Word Error Rate,Summary Error Rates,Percentage (%),True
